,Река,Длина (км),Водосборный бассейн (км²),Средний расход воды (м³/с),Бассейн,Страны в водосборном бассейне
1,Амазонка,7100 (от истока Укаяли)[1][2] 6400[3],6915000,219000,Атлантический океан,"Бразилия, Перу, Боливия, Колумбия, Эквадор, Венесуэла, Гайана"
2,Нил,6670 км (от истока Кагера)[1][3][4][5],3349000,5100,Средиземное море,"Бурунди, Египет, Кения, Конго, Руанда, Судан, Южный Судан, Танзания, Уганда, Эритрея, Эфиопия"
3,Миссисипи — Миссури,6420[1][3] 5971[6] (3766 без Миссури),2980000,16200,Мексиканский залив,"США[7] (98,5 %), Канада (1,5 %)"
4,Янцзы,6300[1][8][9] 5800[3],1800000,31900,Восточно-Китайское море,КНР
5,Хуанхэ,5500*[1][9][10],745000,2110,Бохайский залив,КНР
6,Обь — Иртыш,5410 (3660 без Иртыша)[1][3][11][12] 4338 (Обь-Катунь)[1] 4565 (Обь-Чулым),2990000,12800,Обская губа,"Россия, Казахстан, КНР"
7,Енисей,5238 (по Ангаре от истока Идэра)[источник не указан 1845 дней] 4100* (от истоков Большого Енисея и Малого Енисея)[1][3][11][13],2580000,18600,Карское море,"Россия,Монголия"
8,Лена,5100 (от истока Витима)[источник не указан 1845 дней] 4692[источник не указан 1845 дней] 4400[3][11][14] 4260[1],2490000,17100,море Лаптевых,Россия
9,Амур — Аргунь,5052 (от истока Керулена)[источник не указан 1845 дней] 4440*[1][3][11][15],1855000,11400,Японское море или Охотское море,"Россия, КНР, Монголия"
10,Ла-Плата — Парана,4800* (от Паранаибы)[1][16] 3998 (от Риу-Гранди)[источник не указан 1844 дня],3100000,25700,Атлантический океан,"Бразилия (46,7 %), Аргентина (27,7 %), Парагвай (13,5 %), Боливия (8,3 %), Уругвай (3,8 %)"
11,Конго — Луалаба — Лувуа — Луапула — Чамбеши,4700[17] 4370[1],3680000,41800,Атлантический океан,"ДРК, ЦАР, Ангола, Республика Конго, Танзания, Камерун, Замбия, Бурунди, Руанда"
12,Меконг,4500[1][18] 4350[источник не указан 1845 дней] 4220[19],810000,16000,Южно-Китайское море,"Вьетнам, Камбоджа, Лаос, Таиланд, Мьянма, КНР"
13,Нигер,4350[1] 4200[источник не указан 1844 дня],2090000,9570,Гвинейский залив,"Нигерия (26,6 %), Мали (25,6 %), Нигер (23,6 %), Алжир (7,6 %), Гвинея (4,5 %), Камерун (4,2 %), Буркина-Фасо (3,9 %), Кот-д’Ивуар, Бенин, Чад"
14,Маккензи — Невольничья — Пис — Финлей,4241[источник не указан 1844 дня] 1770 (от Большого Невольничьего озера)[1],1790000,10300,море Бофорта,Канада
15,Волга,3731 (от истока Оки)[источник не указан 1844 дня] 3531[1][3][11],1380000,8080,Каспийское море,"Россия (99,8 %), Казахстан (0,2 %)"
16,Юкон,3700[1][20] 3200[20],850000,6210,Берингово море,"США (59,8 %), Канада (40,2 %)"
17,Арагуая — Токантинс,3650*[источник не указан 1844 дня] 2630[21],1400000,13598,Амазонка,Бразилия
18,Шатт-эль-Араб — Евфрат — Мурат,3600*[источник не указан 1844 дня] 3065 (Евфрат до слияния с Тигром)[22],884000,856,Персидский залив,"Ирак (40,5 %), Турция (24,8 %), Иран (19,7 %), Сирия (14,7 %)"
19,Муррей — Дарлинг,3490[1][23] 3370[24],1061000,767,Южный океан,Австралия
20,Пурус,3379[источник не указан 1844 дня] 3200[25],63166,8400,Амазонка,"Бразилия, Перу"
21,Мадейра — Маморе,3352[26],850000,17000,Амазонка,"Бразилия, Боливия, Перу"
22,Салуин(Ну-Цзян),3200[27],324000,3153[28],Андаманское море,"КНР (52,4 %), Мьянма (43,9 %), Таиланд (3,7 %)"
23,Инд,3180[1][29],960000,7160,Аравийское море,"Пакистан (93 %), Индия, КНР, спорные территории (Кашмир), Афганистан"
24,Сан-Франсиску,3180*(2900),610000,3300,Атлантический океан,Бразилия
25,Сырдарья — Нарын,3078,219000,703,Аральское море,"Казахстан, Киргизия, Узбекистан, Таджикистан"
26,Рио-Гранде,3060[30](2896),805000[30](по другим данным 507000[31]),160,Мексиканский залив,"США (52,1 %), Мексика (47,9 %)"
27,Река Святого Лаврентия — Ниагара — Детройт — Сент-Клэр — Сент-Мэрис — Сент-Луис,3058,1030000,10100,Залив Святого Лаврентия,"Канада (52,1 %), США (47,9 %)"
28,Нижняя Тунгуска,2989[32] 3172[источник не указан 803 дня] Нижняя Тунгуска — Непа — Чамбета,473000,3600,Енисей,Россия
29,Брахмапутра,2948 *,1730000,19200[33],Бенгальский залив,"Индия (58,0 %), КНР (19,7 %), Непал (9,0 %), Бангладеш (6,6 %), спорные территории Индия/КНР (4,2 %), Бутан (2,4 %)"
30,Дунай — Брег,2850 *,817000,7130,Чёрное море,"Румыния (28,9 %), Венгрия (11,7 %), Австрия (10,3 %), Сербия (10,3 %), Германия (7,5 %), Словакия (5,8 %), Болгария (5,2 %), Босния и Герцеговина (4,8 %), Хорватия (4,5 %), Украина (3,8 %), Молдова (1,7 %)."
31,Ориноко,2740[34],948 000[35],33000,Атлантический океан,"Венесуэла, Колумбия, Гайана"
32,Токантинс,2699,1400000,13598,"Атлантический океан, Амазонка",Бразилия
33,Замбези,2693 *,1330000,4880,Мозамбикский пролив,"Замбия (41,6 %), Ангола (18,4 %), Зимбабве (15,6 %), Мозамбик (11,8 %), Малави (8,0 %), Танзания (2,0 %), Намибия, Ботсвана"
34,Вилюй,2650,454000,1480,Лена,Россия
35,Арагуая,2627,358125,6172,Токантинс,Бразилия
36,Амударья — Пяндж — Памир,2620,534739,1400,Аральское море,"Узбекистан, Туркменистан, Таджикистан, Афганистан"
37,Жапура(Какета),2615 *,242259,6000,Амазонка,"Бразилия, Колумбия"
38,Нельсон — Саскачеван,2570,1093000,2575,Гудзонов залив,"Канада, США"
39,Парагвай,2549,900000,4300,Парана,"Бразилия, Парагвай, Боливия, Аргентина"
40,Колыма,2513,644000,3800,Восточно-Сибирское море,Россия
41,Ганг,2510,907000,12037[36],Брахмапутра Бенгальский залив,"Индия, Бангладеш, Непал"
42,Пилькомайо,2500,270000,1400,Парагвай,"Парагвай, Аргентина, Боливия"
43,Ишим,2450,177000,56,Иртыш,"Казахстан, Россия"
44,Журуа,2410,200000,6000,Амазонка,"Перу, Бразилия"
45,Урал,2428,237000,475,Каспийское море,"Россия, Казахстан"
46,Арканзас,2348,505000(435 122),1066,Миссисипи,США
47,Колорадо,2333,390000,1200,Калифорнийский залив,"США, Мексика"
48,Убанги — Уэле,2300,772800,4003,Конго,"ДРК, ЦАР"
49,Оленёк,2292,219000,1210,море Лаптевых,Россия
50,Днепр,2287,516300,1670,Чёрное море,"Россия, Беларусь, Украина"
51,Алдан,2273,729000,5060,Лена,Россия
52,Риу-Негру,2250,720114,26700,Амазонка,"Бразилия, Венесуэла, Колумбия"
53,Колумбия,2250(1 953),415211,7500,Тихий океан,"США, Канада"
54,Чжуцзян — Сицзян,2200,437000,13600,Южно-Китайское море,"КНР (98,5 %), Вьетнам (1,5 %)"
55,Южная Ред-Ривер,2188,78592,875,Миссисипи,США
56,Иравади,2170,411000,13000,Андаманское море,Мьянма
57,Касаи,2153,880200,10000,Конго,"Ангола, ДРК"
